Date,JP_INTEREST_RATE_10Y
2017-01-04,0.064
2017-01-05,0.058
2017-01-06,0.053
2017-01-10,0.058
2017-01-11,0.059
2017-01-12,0.043
2017-01-13,0.049
2017-01-16,0.054
2017-01-17,0.049
2017-01-18,0.054
2017-01-19,0.074
2017-01-20,0.065
2017-01-23,0.055
2017-01-24,0.045
2017-01-25,0.071
2017-01-26,0.09
2017-01-27,0.08
2017-01-30,0.086
2017-01-31,0.087
2017-02-01,0.096
2017-02-02,0.11
2017-02-03,0.102
2017-02-06,0.106
2017-02-07,0.102
2017-02-08,0.097
2017-02-09,0.086
2017-02-10,0.086
2017-02-13,0.092
2017-02-14,0.098
2017-02-15,0.092
2017-02-16,0.097
2017-02-17,0.093
2017-02-20,0.099
2017-02-21,0.099
2017-02-22,0.089
2017-02-23,0.081
2017-02-24,0.067
2017-02-27,0.054
2017-02-28,0.059
2017-03-01,0.069
2017-03-02,0.078
2017-03-03,0.068
2017-03-06,0.069
2017-03-07,0.064
2017-03-08,0.069
2017-03-09,0.084
2017-03-10,0.085
2017-03-13,0.085
2017-03-14,0.085
2017-03-15,0.09
2017-03-16,0.07
2017-03-17,0.071
2017-03-21,0.061
2017-03-22,0.056
2017-03-23,0.051
2017-03-24,0.061
2017-03-27,0.057
2017-03-28,0.057
2017-03-29,0.052
2017-03-30,0.062
2017-03-31,0.067
2017-04-03,0.072
2017-04-04,0.062
2017-04-05,0.062
2017-04-06,0.058
2017-04-07,0.048
2017-04-10,0.048
2017-04-11,0.038
2017-04-12,0.018
2017-04-13,0.023
2017-04-14,0.013
2017-04-17,0.003
2017-04-18,0.013
2017-04-19,0.004
2017-04-20,0.014
2017-04-21,0.014
2017-04-24,0.024
2017-04-25,0.019
2017-04-26,0.021
2017-04-27,0.021
2017-04-28,0.016
2017-05-01,0.016
2017-05-02,0.022
2017-05-08,0.032
2017-05-09,0.038
2017-05-10,0.042
2017-05-11,0.053
2017-05-12,0.046
2017-05-15,0.041
2017-05-16,0.047
2017-05-17,0.047
2017-05-18,0.048
2017-05-19,0.043
2017-05-22,0.054
2017-05-23,0.049
2017-05-24,0.054
2017-05-25,0.054
2017-05-26,0.044
2017-05-29,0.045
2017-05-30,0.045
2017-05-31,0.05
2017-06-01,0.049
2017-06-02,0.047
2017-06-05,0.044
2017-06-06,0.039
2017-06-07,0.04
2017-06-08,0.065
2017-06-09,0.05
2017-06-12,0.055
2017-06-13,0.06
2017-06-14,0.06
2017-06-15,0.05
2017-06-16,0.05
2017-06-19,0.051
2017-06-20,0.051
2017-06-21,0.055
2017-06-22,0.051
2017-06-23,0.051
2017-06-26,0.051
2017-06-27,0.046
2017-06-28,0.056
2017-06-29,0.057
2017-06-30,0.086
2017-07-03,0.082
2017-07-04,0.078
2017-07-05,0.082
2017-07-06,0.098
2017-07-07,0.088
2017-07-10,0.093
2017-07-11,0.093
2017-07-12,0.088
2017-07-13,0.078
2017-07-14,0.078
2017-07-18,0.068
2017-07-19,0.074
2017-07-20,0.074
2017-07-21,0.068
2017-07-24,0.069
2017-07-25,0.069
2017-07-26,0.08
2017-07-27,0.07
2017-07-28,0.074
2017-07-31,0.078
2017-08-01,0.075
2017-08-02,0.075
2017-08-03,0.07
2017-08-04,0.065
2017-08-07,0.07
2017-08-08,0.07
2017-08-09,0.06
2017-08-10,0.06
2017-08-14,0.056
2017-08-15,0.052
2017-08-16,0.042
2017-08-17,0.047
2017-08-18,0.043
2017-08-21,0.038
2017-08-22,0.043
2017-08-23,0.038
2017-08-24,0.028
2017-08-25,0.018
2017-08-28,0.013
2017-08-29,0.009
2017-08-30,0.009
2017-08-31,0.008
2017-09-01,0.005
2017-09-04,0.001
2017-09-05,0.009
2017-09-06,0.004
2017-09-07,0.009
2017-09-08,-0.012
2017-09-11,-0.006
2017-09-12,0.015
2017-09-13,0.02
2017-09-14,0.035
2017-09-15,0.015
2017-09-19,0.026
2017-09-20,0.026
2017-09-21,0.026
2017-09-22,0.021
2017-09-25,0.021
2017-09-26,0.026
2017-09-27,0.047
2017-09-28,0.069
2017-09-29,0.062
2017-10-02,0.073
2017-10-03,0.073
2017-10-04,0.053
2017-10-05,0.043
2017-10-06,0.053
2017-10-10,0.059
2017-10-11,0.063
2017-10-12,0.063
2017-10-13,0.063
2017-10-16,0.064
2017-10-17,0.069
2017-10-18,0.069
2017-10-19,0.064
2017-10-20,0.074
2017-10-23,0.069
2017-10-24,0.069
2017-10-25,0.07
2017-10-26,0.07
2017-10-27,0.07
2017-10-30,0.07
2017-10-31,0.071
2017-11-01,0.06
2017-11-02,0.055
2017-11-06,0.026
2017-11-07,0.032
2017-11-08,0.027
2017-11-09,0.032
2017-11-10,0.042
2017-11-13,0.052
2017-11-14,0.053
2017-11-15,0.048
2017-11-16,0.048
2017-11-17,0.038
2017-11-20,0.039
2017-11-21,0.033
2017-11-22,0.029
2017-11-24,0.035
2017-11-27,0.041
2017-11-28,0.046
2017-11-29,0.035
2017-11-30,0.04
2017-12-01,0.04
2017-12-04,0.045
2017-12-05,0.053
2017-12-06,0.049
2017-12-07,0.049
2017-12-08,0.044
2017-12-11,0.044
2017-12-12,0.04
2017-12-13,0.045
2017-12-14,0.045
2017-12-15,0.04
2017-12-18,0.036
2017-12-19,0.036
2017-12-20,0.051
2017-12-21,0.056
2017-12-22,0.046
2017-12-25,0.036
2017-12-26,0.041
2017-12-27,0.052
2017-12-28,0.052
2017-12-29,0.047
2018-01-04,0.052
2018-01-05,0.057
2018-01-09,0.067
2018-01-10,0.083
2018-01-11,0.068
2018-01-12,0.073
2018-01-15,0.074
2018-01-16,0.079
2018-01-17,0.084
2018-01-18,0.079
2018-01-19,0.079
2018-01-22,0.079
2018-01-23,0.074
2018-01-24,0.079
2018-01-25,0.084
2018-01-26,0.074
2018-01-29,0.085
2018-01-30,0.095
2018-01-31,0.085
2018-02-01,0.095
2018-02-02,0.085
2018-02-05,0.086
2018-02-06,0.075
2018-02-07,0.075
2018-02-08,0.081
2018-02-09,0.071
2018-02-13,0.071
2018-02-14,0.066
2018-02-15,0.066
2018-02-16,0.062
2018-02-19,0.061
2018-02-20,0.066
2018-02-21,0.058
2018-02-22,0.058
2018-02-23,0.053
2018-02-26,0.054
2018-02-27,0.049
2018-02-28,0.054
2018-03-01,0.048
2018-03-02,0.063
2018-03-05,0.038
2018-03-06,0.049
2018-03-07,0.044
2018-03-08,0.049
2018-03-09,0.044
2018-03-12,0.044
2018-03-13,0.045
2018-03-14,0.045
2018-03-15,0.04
2018-03-16,0.031
2018-03-19,0.036
2018-03-20,0.036
2018-03-22,0.031
2018-03-23,0.016
2018-03-26,0.022
2018-03-27,0.032
2018-03-28,0.032
2018-03-29,0.037
2018-03-30,0.043
2018-04-02,0.042
2018-04-03,0.022
2018-04-04,0.027
2018-04-05,0.037
2018-04-06,0.038
2018-04-09,0.033
2018-04-10,0.033
2018-04-11,0.028
2018-04-12,0.033
2018-04-13,0.033
2018-04-16,0.039
2018-04-17,0.039
2018-04-18,0.034
2018-04-19,0.039
2018-04-20,0.059
2018-04-23,0.06
2018-04-24,0.055
2018-04-25,0.06
2018-04-26,0.06
2018-04-27,0.055
2018-05-01,0.04
2018-05-02,0.045
2018-05-07,0.046
2018-05-08,0.05
2018-05-09,0.051
2018-05-10,0.052
2018-05-11,0.047
2018-05-14,0.052
2018-05-15,0.058
2018-05-16,0.058
2018-05-17,0.062
2018-05-18,0.062
2018-05-21,0.059
2018-05-22,0.053
2018-05-23,0.048
2018-05-24,0.048
2018-05-25,0.043
2018-05-28,0.043
2018-05-29,0.038
2018-05-30,0.033
2018-05-31,0.039
2018-06-01,0.05
2018-06-04,0.056
2018-06-05,0.056
2018-06-06,0.056
2018-06-07,0.055
2018-06-08,0.051
2018-06-11,0.051
2018-06-12,0.057
2018-06-13,0.057
2018-06-14,0.046
2018-06-15,0.041
2018-06-18,0.041
2018-06-19,0.037
2018-06-20,0.042
2018-06-21,0.043
2018-06-22,0.039
2018-06-25,0.04
2018-06-26,0.045
2018-06-27,0.046
2018-06-28,0.04
2018-06-29,0.04
2018-07-02,0.035
2018-07-03,0.037
2018-07-04,0.032
2018-07-05,0.032
2018-07-06,0.027
2018-07-09,0.028
2018-07-10,0.038
2018-07-11,0.038
2018-07-12,0.038
2018-07-13,0.038
2018-07-17,0.039
2018-07-18,0.044
2018-07-19,0.039
2018-07-20,0.034
2018-07-23,0.086
2018-07-24,0.085
2018-07-25,0.07
2018-07-26,0.091
2018-07-27,0.101
2018-07-30,0.106
2018-07-31,0.05
2018-08-01,0.129
2018-08-02,0.121
2018-08-03,0.11
2018-08-06,0.105
2018-08-07,0.11
2018-08-08,0.11
2018-08-09,0.115
2018-08-10,0.105
2018-08-13,0.103
2018-08-14,0.106
2018-08-15,0.097
2018-08-16,0.104
2018-08-17,0.099
2018-08-20,0.1
2018-08-21,0.094
2018-08-22,0.1
2018-08-23,0.1
2018-08-24,0.106
2018-08-27,0.101
2018-08-28,0.101
2018-08-29,0.107
2018-08-30,0.115
2018-08-31,0.11
2018-09-03,0.127
2018-09-04,0.125
2018-09-05,0.121
2018-09-06,0.116
2018-09-07,0.116
2018-09-10,0.121
2018-09-11,0.116
2018-09-12,0.116
2018-09-13,0.116
2018-09-14,0.117
2018-09-18,0.123
2018-09-19,0.128
2018-09-20,0.128
2018-09-21,0.14
2018-09-25,0.141
2018-09-26,0.135
2018-09-27,0.13
2018-09-28,0.134
2018-10-01,0.139
2018-10-02,0.137
2018-10-03,0.137
2018-10-04,0.157
2018-10-05,0.148
2018-10-09,0.158
2018-10-10,0.152
2018-10-11,0.144
2018-10-12,0.149
2018-10-15,0.144
2018-10-16,0.149
2018-10-17,0.147
2018-10-18,0.153
