Date,NIKKEI225
2017-01-04,19594.16015625
2017-01-05,19520.689453125
2017-01-06,19454.330078125
2017-01-10,19301.439453125
2017-01-11,19364.669921875
2017-01-12,19134.69921875
2017-01-13,19287.279296875
2017-01-16,19095.240234375
2017-01-17,18813.529296875
2017-01-18,18894.369140625
2017-01-19,19072.25
2017-01-20,19137.91015625
2017-01-23,18891.029296875
2017-01-24,18787.990234375
2017-01-25,19057.5
2017-01-26,19402.390625
2017-01-27,19467.400390625
2017-01-30,19368.849609375
2017-01-31,19041.33984375
2017-02-01,19148.080078125
2017-02-02,18914.580078125
2017-02-03,18918.19921875
2017-02-06,18976.7109375
2017-02-07,18910.779296875
2017-02-08,19007.599609375
2017-02-09,18907.669921875
2017-02-10,19378.9296875
2017-02-13,19459.150390625
2017-02-14,19238.98046875
2017-02-15,19437.98046875
2017-02-16,19347.529296875
2017-02-17,19234.619140625
2017-02-20,19251.080078125
2017-02-21,19381.439453125
2017-02-22,19379.869140625
2017-02-23,19371.4609375
2017-02-24,19283.5390625
2017-02-27,19107.470703125
2017-02-28,19118.990234375
2017-03-01,19393.5390625
2017-03-02,19564.80078125
2017-03-03,19469.169921875
2017-03-06,19379.140625
2017-03-07,19344.150390625
2017-03-08,19254.029296875
2017-03-09,19318.580078125
2017-03-10,19604.609375
2017-03-13,19633.75
2017-03-14,19609.5
2017-03-15,19577.380859375
2017-03-16,19590.140625
2017-03-17,19521.58984375
2017-03-21,19455.880859375
2017-03-22,19041.380859375
2017-03-23,19085.310546875
2017-03-24,19262.529296875
2017-03-27,18985.58984375
2017-03-28,19202.869140625
2017-03-29,19217.48046875
2017-03-30,19063.220703125
2017-03-31,18909.259765625
2017-04-03,18983.23046875
2017-04-04,18810.25
2017-04-05,18861.26953125
2017-04-06,18597.060546875
2017-04-07,18664.630859375
2017-04-10,18797.880859375
2017-04-11,18747.869140625
2017-04-12,18552.609375
2017-04-13,18426.83984375
2017-04-14,18335.630859375
2017-04-17,18355.259765625
2017-04-18,18418.58984375
2017-04-19,18432.19921875
